config                  context_anchor  context_top_ra  context_win_gi  novel_ngram_sh  pure_corpus_re  verbatim_run_r  reply_ge90pct_      distinct_1      distinct_2  repeated_bigra  connective_rep  winner_multiju  empty_result_r  avg_length_tok  length_mirror_  context_token_  avg_generation  slot_mutation_  verbatim_exten
verb_pen=3                      0.5583          0.5767          0.9250          0.6457          0.0000          0.3616          0.0000          0.4950          0.8973          0.0012          0.6133          0.0000          0.0000         10.7133          2.8900          0.2268        218.1867          0.0000          0.1983
start_bias=1.0                  0.0000          0.0000          0.0000          0.6011          0.0000          0.3692          0.0000          0.4829          0.8934          0.0000          0.4667          0.0000          0.0000         10.5700          2.3367          0.0652        290.4700          0.0000          0.4117
start_bias=4.0                  0.6817          0.7200          0.9278          0.6192          0.0000          0.3758          0.0000          0.4966          0.8987          0.0003          0.7300          0.0000          0.0000         11.1967          3.9567          0.2741        195.4733          0.0000          0.1700
jump_prob=0                     0.4733          0.5083          0.8886          0.6092          0.0000          0.3565          0.0000          0.4996          0.8982          0.0003          0.5267          0.0000          0.0000         10.8933          5.3833          0.2113        236.7767          0.0000          0.2917
jump_prob=0.3                   0.6167          0.6633          0.9173          0.6572          0.0000          0.3615          0.0000          0.4854          0.8969          0.0000          0.7100          0.0000          0.0000         10.9767          3.4967          0.2571        217.3167          0.0000          0.1533
affinity=1.0                    0.5600          0.5767          0.9364          0.6378          0.0000          0.3749          0.0000          0.4913          0.8999          0.0003          0.6350          0.0000          0.0000         10.8000          4.9733          0.2155         68.9700          0.0000          0.2033
affinity=10.0                   0.5650          0.5850          0.9353          0.6279          0.0000          0.3679          0.0000          0.4879          0.9021          0.0003          0.6633          0.0000          0.0000         10.9300          4.7267          0.2322        221.3267          0.0000          0.2100
len_adapt=0                     0.5233          0.5700          0.8975          0.6145          0.0000          0.3722          0.0000          0.4833          0.8946          0.0000          0.6683          0.0000          0.0000         11.4633          1.7300          0.2273        229.2933          0.0000          0.2267
len_adapt=3                     0.5567          0.5867          0.9175          0.6221          0.0000          0.3885          0.0000          0.4867          0.9024          0.0002          0.6883          0.0000          0.0000         10.9867          5.7667          0.2361        229.9033          0.0000          0.2250
markov_order=2                  0.4917          0.5233          0.8989          0.6258          0.0000          0.3828          0.0000          0.5277          0.9224          0.0002          0.4417          0.0000          0.0000         10.2033          4.6233          0.1918         33.3267          0.0000          0.2467
